"","ego","alter","dv","ego_capacity_n","alter_capacity_n","c_diff_cat","count_ego_collaboratives","count_alter_collaboratives","overlap_collab","ego_np_501c3","alter_np_501c3","np_match","ego_ej_mission","alter_ej_mission","ej_diff_cat","count_ego_issues","count_alter_issues","i_match","ego_local","alter_local","geo_diff_cat","distance"
"1","G13","G1",0,0.0267042614034154,0.00626981217719915,"lower",5,0,0,1,0,"no_match",2,3,"higher",4,2,1,"regional","regional","regional_match",99547.3821382577
"2","G14","G1",0,0,0.00626981217719915,"higher",0,0,1,0,0,"no_np_homophily",1,3,"higher",3,2,0,"local","regional","bigger",98410.3366208369
"3","G16","G1",0,0,0.00626981217719915,"higher",0,0,1,1,0,"no_match",1,3,"higher",1,2,0,"local","regional","bigger",100878.058790829
"4","G17","G1",0,0.029108290703348,0.00626981217719915,"lower",7,0,0,1,0,"no_match",2,3,"higher",2,2,1,"local","regional","bigger",99957.6893671694
"5","G19","G1",0,0.0678291239383343,0.00626981217719915,"lower",0,0,1,1,0,"no_match",1,3,"higher",2,2,0,"local","regional","bigger",98330.8925434797
"6","G20","G1",0,0.0065766676690612,0.00626981217719915,"lower",4,0,0,1,0,"no_match",3,3,"match",6,2,2,"regional","regional","regional_match",98944.0170501339
"7","G21","G1",0,0.000919981902138087,0.00626981217719915,"higher",0,0,1,1,0,"no_match",2,3,"higher",3,2,1,"local","regional","bigger",117963.448791578
"8","G29","G1",0,0.00447578469577884,0.00626981217719915,"higher",0,0,1,1,0,"no_match",2,3,"higher",3,2,1,"local","regional","bigger",36898.065758892
"9","G4","G1",0,0.00278770759691127,0.00626981217719915,"higher",0,0,1,1,0,"no_match",3,3,"match",5,2,1,"regional","regional","regional_match",16321.6365461981
"10","G41","G1",0,0.036172123400984,0.00626981217719915,"lower",0,0,1,0,0,"no_np_homophily",1,3,"higher",4,2,1,"local","regional","bigger",22448.0689065045
"11","G43","G1",1,0.005603390557631,0.00626981217719915,"higher",4,0,0,1,0,"no_match",3,3,"match",3,2,2,"regional","regional","regional_match",99035.2869240779
